                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.56844,                0.58936,                0.96224,                0.95183,                  0.824,                0.89785,                0.66797,                0.87417,                0.90642,                 1.3028,             0.00060847,             0.00060847,             0.00060847
                     60,                0.58058,                0.59683,                0.95887,                0.88169,                0.83046,                  0.907,                0.69176,                0.82744,                0.79305,                 1.2846,             0.00059432,             0.00059432,             0.00059432
                     61,                0.56712,                0.56968,                0.96711,                0.93702,                0.84462,                0.91389,                0.71515,                0.80755,                0.81663,                 1.2102,             0.00058017,             0.00058017,             0.00058017
                     62,                0.54975,                0.57839,                0.95595,                0.87566,                0.83923,                0.90619,                0.70655,                0.82845,                0.87716,                 1.1945,             0.00056603,             0.00056603,             0.00056603
                     63,                0.52307,                0.53961,                0.94966,                0.87685,                0.88745,                0.93288,                0.73165,                0.82275,                0.71057,                 1.1608,             0.00055188,             0.00055188,             0.00055188
                     64,                0.60333,                0.58271,                0.95119,                0.88421,                0.88856,                0.93527,                0.72868,                0.76664,                0.72805,                 1.1301,             0.00053773,             0.00053773,             0.00053773
                     65,                0.58192,                0.56367,                0.95043,                0.92801,                0.84852,                0.92846,                0.72099,                0.77373,                 0.7451,                 1.1614,             0.00052359,             0.00052359,             0.00052359
                     66,                 0.5589,                0.55352,                0.95543,                0.92392,                0.85691,                 0.9028,                0.73245,                0.78799,                 0.7542,                 1.1851,             0.00050944,             0.00050944,             0.00050944
                     67,                0.51435,                 0.5479,                0.94222,                0.98208,                0.84417,                0.92768,                0.73015,                0.74509,                0.69607,                 1.1253,             0.00049529,             0.00049529,             0.00049529
                     68,                 0.5289,                0.51529,                0.94182,                0.90265,                0.82609,                0.91945,                0.73851,                0.75885,                0.76172,                 1.1336,             0.00048114,             0.00048114,             0.00048114
                     69,                0.51229,                0.52787,                0.94115,                0.93225,                0.75584,                0.91202,                0.73896,                0.73495,                0.76891,                 1.1162,               0.000467,               0.000467,               0.000467
