                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.72884,                0.75596,                 1.0331,                0.81264,                  0.668,                0.77878,                0.52116,                 1.0867,                 1.3534,                 1.3895,              0.0010895,              0.0010895,              0.0010895
                     50,                0.67818,                0.70594,                 1.0232,                0.87781,                0.74386,                0.83047,                0.59254,                0.98991,                 1.2675,                  1.351,              0.0010824,              0.0010824,              0.0010824
                     51,                0.70908,                0.72767,                 1.0278,                0.75979,                0.73035,                0.79326,                0.56907,                 1.0716,                 1.0714,                 1.4457,              0.0010753,              0.0010753,              0.0010753
                     52,                0.64323,                0.65669,                 1.0046,                0.86851,                0.67045,                0.76617,                0.52826,                 1.1367,                 1.4629,                 1.4977,              0.0010682,              0.0010682,              0.0010682
                     53,                0.65475,                0.67697,                 1.0069,                0.78653,                0.75871,                0.78523,                0.57027,                 1.0323,                 1.2345,                 1.3951,              0.0010612,              0.0010612,              0.0010612
                     54,                0.64869,                0.67279,                0.98992,                0.76807,                0.67381,                0.70103,                 0.5038,                 1.1652,                 1.4961,                 1.4493,              0.0010541,              0.0010541,              0.0010541
                     55,                0.65697,                0.66174,                0.99567,                0.80119,                0.63281,                0.70419,                0.53598,                 1.0349,                 1.3782,                 1.3771,               0.001047,               0.001047,               0.001047
                     56,                0.63956,                0.66796,                0.98172,                0.75015,                0.63888,                0.71857,                0.51212,                 1.1082,                  1.582,                 1.4757,                0.00104,                0.00104,                0.00104
                     57,                0.65714,                0.65779,                 1.0008,                0.77994,                0.78996,                0.83007,                0.59633,                0.94877,                 1.0944,                 1.3147,              0.0010329,              0.0010329,              0.0010329
                     58,                0.66367,                0.68608,                 1.0077,                 0.8795,                 0.6719,                0.81842,                0.57129,                0.97523,                 1.1904,                 1.2656,              0.0010258,              0.0010258,              0.0010258
                     59,                0.63344,                0.68336,                0.98667,                0.87504,                0.79429,                0.83535,                0.63641,                0.82555,                 1.0512,                   1.12,              0.0010187,              0.0010187,              0.0010187
                     60,                 0.6423,                0.66317,                0.98159,                0.80416,                0.79027,                0.82733,                0.66149,                0.77809,                0.93526,                 1.1154,              0.0010117,              0.0010117,              0.0010117
                     61,                0.65311,                0.64167,                  1.002,                0.80653,                0.64326,                0.75818,                0.58552,                0.91335,                  1.083,                 1.2749,              0.0010046,              0.0010046,              0.0010046
                     62,                0.64299,                0.65291,                0.99687,                0.91882,                 0.6183,                 0.7904,                0.62049,                  0.988,                 1.0777,                 1.3071,             0.00099751,             0.00099751,             0.00099751
                     63,                0.60204,                0.60415,                0.98472,                0.89876,                0.65828,                0.79215,                0.60999,                0.88601,                 1.0212,                 1.2305,             0.00099044,             0.00099044,             0.00099044
                     64,                0.68034,                0.65937,                0.99107,                0.90775,                0.66494,                0.77095,                0.60696,                0.95843,                 1.0404,                 1.3107,             0.00098337,             0.00098337,             0.00098337
                     65,                0.63398,                0.63257,                0.98639,                0.82227,                0.74747,                0.78309,                0.63874,                0.95307,                 0.9541,                 1.2824,             0.00097629,             0.00097629,             0.00097629
                     66,                 0.6326,                0.63241,                0.98478,                0.77001,                0.67779,                0.76583,                0.56606,                 1.1847,                 1.1736,                 1.5696,             0.00096922,             0.00096922,             0.00096922
                     67,                0.62196,                0.63376,                0.99011,                0.68602,                0.57474,                0.64692,                 0.4531,                 1.3105,                 1.5742,                 1.7447,             0.00096215,             0.00096215,             0.00096215
                     68,                0.60972,                0.59314,                0.97176,                0.79831,                0.72823,                0.74733,                 0.5558,                0.99571,                 1.2187,                  1.376,             0.00095507,             0.00095507,             0.00095507
                     69,                0.59895,                0.60057,                0.97227,                0.76153,                0.74991,                0.76277,                0.57589,                0.97813,                 1.2669,                 1.3125,               0.000948,               0.000948,               0.000948
